i,j,r,k,period
1,1,1.0,2.0,1
2,1,1.05,2.0,1
3,1,1.1,2.0,1
4,1,1.15,2.0,1
5,1,1.2,2.0,1
6,1,1.25,2.0,1
7,1,1.3,2.0,1
8,1,1.35,2.0,1
9,1,1.4,2.0,1
10,1,1.45,2.0,1
11,1,1.5,2.0,1
12,1,1.55,2.0,1
13,1,1.6,2.0,1
14,1,1.65,2.0,1
15,1,1.7,2.0,1
16,1,1.75,2.0,1
17,1,1.8,2.0,1
18,1,1.85,2.0,1
19,1,1.9,2.0,1
20,1,1.95,2.0,1
21,1,2.0,2.0,2
22,1,2.05,2.0,2
23,1,2.1,2.0,2
24,1,2.15,2.0,2
25,1,2.2,2.0,2
26,1,2.25,2.0,2
27,1,2.3,2.0,2
28,1,2.35,2.0,2
29,1,2.4,2.0,2
30,1,2.45,2.0,2
31,1,2.5,2.0,2
32,1,2.55,2.0,4
33,1,2.6,2.0,4
34,1,2.65,2.0,4
35,1,2.7,2.0,2001
36,1,2.75,2.0,2001
37,1,2.8,2.0,2001
38,1,2.85,2.0,2001
39,1,2.9,2.0,2001
40,1,2.95,2.0,2001
41,1,3.0,2.0,2001
42,1,3.05,2.0,2001
43,1,3.1,2.0,2001
44,1,3.15,2.0,3
45,1,3.2,2.0,36
46,1,3.25,2.0,2001
47,1,3.3,2.0,2001
48,1,3.35,2.0,2001
49,1,3.4,2.0,2001
50,1,3.45,2.0,2001
51,1,3.5,2.0,2001
52,1,3.55,2.0,2001
53,1,3.6,2.0,4
54,1,3.65,2.0,2001
55,1,3.7,2.0,2001
56,1,3.75,2.0,2001
57,1,3.8,2.0,2001
58,1,3.85,2.0,2001
59,1,3.9,2.0,2001
60,1,3.95,2.0,2001
61,1,4.0,2.0,2001
62,1,4.05,2.0,2001
63,1,4.1,2.0,2001
64,1,4.15,2.0,2001
65,1,4.2,2.0,2001
66,1,4.25,2.0,2001
67,1,4.3,2.0,2001
68,1,4.35,2.0,2001
69,1,4.4,2.0,2001
70,1,4.45,2.0,2001
71,1,4.5,2.0,2001
72,1,4.55,2.0,2001
73,1,4.6,2.0,2001
74,1,4.65,2.0,2001
75,1,4.7,2.0,2001
76,1,4.75,2.0,2001
77,1,4.8,2.0,2001
78,1,4.85,2.0,2001
79,1,4.9,2.0,2001
80,1,4.95,2.0,2001
1,2,1.0,2.05,1
2,2,1.05,2.05,1
3,2,1.1,2.05,1
4,2,1.15,2.05,1
5,2,1.2,2.05,1
6,2,1.25,2.05,1
