番号,設置形態,大学名,,平成30年度大学入学者選抜,,,,,,,,平成29年度大学入学者選抜,,,,,,,,平成28年度大学入学者選抜,,,,,,,,平成27年度大学入学者選抜,,,,,,,,平成26年度大学入学者選抜,,,,,,,,平成25年度大学入学者選抜,,,,,,,
,,,,受験者数,,,合格者数,,,合格率（合格者数／受験者数）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,男性,女性,計,男性,女性,計,男性,女性,男性,女性,計,男性,女性,計,男性,女性,男性,女性,計,男性,女性,計,男性,女性,男性,女性,計,男性,女性,計,男性,女性,男性,女性,計,男性,女性,計,男性,女性,男性,女性,計,男性,女性,計,男性,女性
1,国立,北海道大学,合計,254,77,331,87,17,104,34%,22%,259,71,330,80,22,102,31%,31%,266,105,371,78,25,103,29%,24%,222,68,290,82,20,102,37%,29%,254,76,330,83,19,102,33%,25%,242,89,331,75,28,103,31%,31%
1,国立,北海道大学,うち18歳以下,122,44,166,34,11,45,28%,25%,119,28,147,35,7,42,29%,25%,123,51,174,37,9,46,30%,18%,98,35,133,35,11,46,36%,31%,101,42,143,37,14,51,37%,33%,100,42,142,36,9,45,36%,21%
1,国立,北海道大学,うち19歳,73,18,91,41,5,46,56%,28%,74,20,94,34,13,47,46%,65%,58,27,85,24,11,35,41%,41%,52,14,66,26,7,33,50%,50%,61,14,75,21,2,23,34%,14%,59,30,89,22,14,36,37%,47%
1,国立,北海道大学,うち20歳,23,3,26,8,0,8,35%,0%,23,11,34,4,1,5,17%,9%,30,11,41,13,4,17,43%,36%,24,5,29,13,1,14,54%,20%,34,10,44,14,2,16,41%,20%,26,2,28,11,2,13,42%,100%
1,国立,北海道大学,うち21歳,12,5,17,3,1,4,25%,20%,13,4,17,3,1,4,23%,25%,13,3,16,2,0,2,15%,0%,9,5,14,1,1,2,11%,20%,12,1,13,5,1,6,42%,100%,13,3,16,1,1,2,8%,33%
1,国立,北海道大学,うち22歳以上,24,7,31,1,0,1,4%,0%,30,8,38,4,0,4,13%,0%,42,13,55,2,1,3,5%,8%,39,9,48,7,0,7,18%,0%,46,9,55,6,0,6,13%,0%,44,12,56,5,2,7,11%,17%
2,国立,旭川医科大学,合計,514,255,769,73,34,107,14%,13%,495,208,703,71,41,112,14%,20%,422,244,666,71,45,116,17%,18%,452,230,682,68,45,113,15%,20%,503,255,758,80,35,115,16%,14%,503,257,760,75,39,114,15%,15%
2,国立,旭川医科大学,うち18歳以下,234,135,369,29,15,44,12%,11%,213,92,305,33,12,45,15%,13%,158,132,290,23,19,42,15%,14%,215,127,342,29,21,50,13%,17%,203,131,334,31,13,44,15%,10%,217,129,346,34,15,49,16%,12%
2,国立,旭川医科大学,うち19歳,172,81,253,33,13,46,19%,16%,150,76,226,25,22,47,17%,29%,149,74,223,33,20,53,22%,27%,139,62,201,27,18,45,19%,29%,165,63,228,38,18,56,23%,29%,143,68,211,27,15,42,19%,22%
