01,Morning comes
02,Genius on ice
03,Lesson1
04,Skating rink
05,After school
06,Did you pay?
07,No money No Skate
08,MIMIZU
09,Mother and Daughter
10,Loneliness
11,Pray
12,I can’t do anything
13,Support
14,Lesson2
15,I did it!
16,Happy hour
17,Next step
18,Frozen memories
19,Stronger Courage than Giving Up
20,Lead to victory
21,Start line
22,Smile Genius
23,Lesson3
24,Worm-hunting
25,Funny days
26,Hikaru
27,Mike
28,Jun Yodaka
29,Quiet anger
30,Shock!!!
31,Slowly
32,Sharp edge
33,Accident
34,Run
35,Blame oneself
36,Icy heart
37,Tenderness
38,Howlling in the night
39,KISS & CRY
40,The Courage of Two Lives
41,We who are nothing until we are named as such
42,Secrets of the Toy Chest
43,Dance Under the Stars
44,Whirling Dreamland
45,Cracked Carousel
46,Who I Am
47,Spirits of the Night
48,Go For The Gold
